name,latitude,longitude
Allegan Michigan,42.6055833,-85.9555833
Belfast Maine,44.4450833,-69.0822500
Canandaigua New York,42.9133889,-77.2660833
Douglas Arizona,31.5006389,-109.6539722
Ferndale Washington,48.9556667,-122.5548889
Grand Island Nebraska,40.9225000,-98.4286667
Kenai Alaska,60.7238889,-151.3375000
Kingsville Texas,27.4416944,-97.8836111
Laurel Maryland,39.1651111,-76.8210833
Livermore California,37.7249167,-121.7543889
Powder Springs Georgia,33.8623333,-84.7238333
Santa Isabel Puerto Rico,18.0052500,-66.3751667
Vero Beach Florida,27.6061389,-80.6347778
Waipahu Hawaii,21.3760000,-157.9955833
